id,question,expected_response,actual_response,metric 1,accuracy.output,accuracy.reasoning,eval_accuracy.version
89b73d56-e897-411c-991b-ddc0b514f595,What is the origin of the term 'love' in tennis scoring?,"The origin of 'love' in tennis scoring is believed to come from the French word 'l'oeuf' meaning 'egg', which represents the shape of zero. Over time, this was anglicized to 'love'.","Tennis scholars believe the term 'love' for zero points derived from the French word 'l'oeuf' (meaning egg), referring to the egg-like shape of zero. Through language evolution, 'l'oeuf' eventually transformed into the English word 'love'.",1.0,,"The ‘l’oeuf’ (egg) origin is a common folk etymology but not supported by solid linguistic evidence. Most etymologists consider the true origin of tennis ‘love’ uncertain, and the French ‘egg’ theory remains unsubstantiated.",3 - Perfect
2e43dcac-a5ce-41f3-ae3c-263b237f6db7,What are the dimensions of a tennis ball?,"According to official regulations, a tennis ball must have a diameter between 2.57 and 2.70 inches (6.54 and 6.86 cm) and weigh between 1.975 and 2.095 ounces (56.0 and 59.4 grams).","Tennis balls must conform to strict specifications: their diameter must range from 2.57 to 2.70 inches (6.54 to 6.86 cm), with weight requirements between 1.975 and 2.095 ounces (56.0 to 59.4 grams) as per official regulations.",1.0,,"The second statement conveys the exact same diameter and weight ranges as the official regulations, merely rephrased. It is fully accurate.",1 - Inaccurate
81dbcde2-0741-44f6-aaf7-5269e02dcdbf,Who won the Wimbledon men's singles title in 2023?,"Carlos Alcaraz won the Wimbledon men's singles title in 2023, defeating Novak Djokovic in the final in a thrilling five-set match.",The 2023 Wimbledon men's singles champion was Carlos Alcaraz. He beat Novak Djokovic in an exciting five-set final match.,1.0,,Both statements accurately describe the fact that Carlos Alcaraz won the 2023 Wimbledon men’s singles title by defeating Novak Djokovic in a thrilling five-set final.,3 - Perfect
9cfe80ad-0d15-44f0-9cf6-81e425c4eb10,What is a drop shot in tennis?,"A drop shot is a gentle shot with minimal pace and backspin that falls just over the net, forcing the opponent to rush forward. It's used as a surprise tactic, especially against opponents positioned far behind the baseline.","The drop shot is a finesse tennis stroke hit with backspin and very little power, designed to land shortly after crossing the net. Players utilize this tactical shot to catch opponents off-guard, particularly when they're positioned deep behind the baseline.",1.0,,"The final answer accurately describes the drop shot’s key characteristics: it’s a finesse stroke with backspin and minimal power, lands just over the net, and is used as a surprise tactic when opponents are deep behind the baseline. All details align with the original description.",3 - Perfect
46cd3532-503a-4675-82ac-33103aadb5d6,Who has the most Wimbledon titles in women's singles?,Martina Navratilova holds the record for most Wimbledon women's singles titles with 9 championships won between 1978 and 1990.,"The record for most Wimbledon women's singles championships belongs to Martina Navratilova, who captured 9 titles between 1978 and 1990.",1.0,,Both statements accurately convey that Martina Navratilova holds the record for most Wimbledon women’s singles titles with nine championships won between 1978 and 1990.,3 - Perfect
bd29da5a-51c1-46ab-ac7d-d1abd23bce8e,What is the fastest recorded tennis serve?,The fastest recorded tennis serve in an official ATP match was hit by Sam Groth of Australia at 163.7 mph (263.4 km/h) in 2012 at the Busan Open Challenger.,"Sam Groth of Australia holds the record for the fastest officially recorded serve in ATP tennis history, clocking 163.7 mph (263.4 km/h) during the 2012 Busan Open Challenger tournament.",1.0,,Both statements accurately describe that Sam Groth holds the official ATP record for the fastest serve at 163.7 mph (263.4 km/h) during the 2012 Busan Open Challenger. There is no discrepancy or missing information.,3 - Perfect
c5585851-5d21-4b44-b60e-05c2698e4f59,Which Grand Slam tournament is played on grass courts?,"Wimbledon is the only Grand Slam tournament that is played on grass courts. It takes place at the All England Lawn Tennis and Croquet Club in London, UK.","Among the four Grand Slam tournaments, only Wimbledon is contested on grass courts. This prestigious championship is held at the All England Lawn Tennis and Croquet Club in London.",1.0,,Both sentences accurately state that Wimbledon is the only Grand Slam on grass courts and is held at the All England Lawn Tennis and Croquet Club in London.,3 - Perfect
9375b420-b828-477c-8030-97de558a1d43,What is a double fault in tennis?,"A double fault occurs when a server commits two consecutive service faults in the same point, resulting in the loss of the point to the opponent.","When a tennis player makes two consecutive service faults during the same point, it's called a double fault. The server automatically loses that point to their opponent.",1.0,,"Both statements accurately describe a double fault in tennis, making the final answer fully correct and complete.",3 - Perfect
44b95c32-7a6d-4c30-adbd-3e0087338301,What is the difference between deuce and advantage in tennis?,"In tennis, deuce occurs when the score is tied at 40-40 (or 3 points each). After deuce, a player needs to win two consecutive points to win the game. When a player wins the first point after deuce, they have 'advantage'; if they win the next point, they win the game. If they lose the point when they have advantage, the score returns to deuce.","Deuce in tennis happens when both players reach 40-40 in scoring. When one player scores after deuce, they receive 'advantage.' They must then win the next point to claim the game. Should they lose the point while having advantage, the score reverts to deuce, and either player needs two consecutive points to win.",1.0,,"Both statements correctly explain that at 40-40 (deuce) a player must win two consecutive points to win the game, that winning the first point gives advantage, and that losing from advantage returns the score to deuce.",3 - Perfect
6cce2762-5b15-4270-9064-b36106727d20,When was tennis first included in the Olympics?,Tennis was included in the first modern Olympic Games in Athens in 1896. It was discontinued after the 1924 Games and then reintroduced as a medal sport at the 1988 Olympics in Seoul.,"Tennis appeared in the inaugural modern Olympic Games held in Athens in 1896. The sport was later removed after the 1924 Olympics and didn't return until the 1988 Seoul Games, when it was reinstated as an official medal event.",1.0,,"Both statements accurately reflect the historical timeline: tennis debuted in 1896, was discontinued after 1924, and returned as a medal event in the 1988 Seoul Olympics.",3 - Perfect
